Channel,Fixture ID,Instrument Type,GDTF Fixture Mode,Universe,U Address,Absolute Address,GDTF Fixture,DMX Footprint,Fixture Name,Device Type,Position,Unit Number,Layer,Color,UID
288,288,Led Tile RGB8 Wall,Default,4,262,1798,Generic@Led Tile RGB8 Wall,3,LED Backwall 88,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-EA1D-A823-02FA-C7748DB0D613
289,289,Led Tile RGB8 Wall,Default,4,265,1801,Generic@Led Tile RGB8 Wall,3,LED Backwall 89,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-D411-7F1B-4D73-DF6F8DB0D613
290,290,Led Tile RGB8 Wall,Default,4,268,1804,Generic@Led Tile RGB8 Wall,3,LED Backwall 90,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-4E62-2438-98F4-F46A8DB0D613
291,291,Led Tile RGB8 Wall,Default,4,271,1807,Generic@Led Tile RGB8 Wall,3,LED Backwall 91,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-9E42-3405-E36D-0C668DB0D613
292,292,Led Tile RGB8 Wall,Default,4,274,1810,Generic@Led Tile RGB8 Wall,3,LED Backwall 92,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-66D3-5B3F-2EE7-25618DB0D613
293,293,Led Tile RGB8 Wall,Default,4,277,1813,Generic@Led Tile RGB8 Wall,3,LED Backwall 93,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-C024-6D14-7958-3D5C8DB0D613
294,294,Led Tile RGB8 Wall,Default,4,280,1816,Generic@Led Tile RGB8 Wall,3,LED Backwall 94,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-6994-6A2F-C4D1-4A578DB0D613
295,295,Led Tile RGB8 Wall,Default,4,283,1819,Generic@Led Tile RGB8 Wall,3,LED Backwall 95,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-DBD9-EC46-0F4B-62528DB0D613
296,296,Led Tile RGB8 Wall,Default,4,286,1822,Generic@Led Tile RGB8 Wall,3,LED Backwall 96,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-7278-1915-5ACC-7B4D8DB0D613
297,297,Led Tile RGB8 Wall,Default,4,289,1825,Generic@Led Tile RGB8 Wall,3,LED Backwall 97,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-A56B-4965-A545-93488DB0D613
298,298,Led Tile RGB8 Wall,Default,4,292,1828,Generic@Led Tile RGB8 Wall,3,LED Backwall 98,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-6F39-AF22-F0BE-A8438DB0D613
299,299,Led Tile RGB8 Wall,Default,4,295,1831,Generic@Led Tile RGB8 Wall,3,LED Backwall 99,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-412B-B20B-3B30-C03E8DB0D613
300,300,Led Tile RGB8 Wall,Default,4,298,1834,Generic@Led Tile RGB8 Wall,3,LED Backwall 100,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",0D492000-0393-207A-86A9-D9398DB0D613
301,301,LED steps small,Default,2,226,738,Generic@LED steps small,3,LED Step 1,Light,Backtruss,0,Backtruss,"0.312712,0.329008,100.000000",C1036301-5372-1003-3A6A-51DEB55883BB
